hsp70combo.fasta, 3, 1
mcrAcombo.fasta, 3, 1
proteome_01.fasta, 4, 0
proteome_02.fasta, 2, 0
proteome_03.fasta, 3, 1
proteome_04.fasta, 4, 0
proteome_05.fasta, 2, 1
proteome_06.fasta, 0, 0
proteome_07.fasta, 2, 1
proteome_08.fasta, 5, 0
proteome_09.fasta, 2, 0
proteome_10.fasta, 3, 0
proteome_11.fasta, 6, 0
proteome_12.fasta, 6, 0
proteome_13.fasta, 3, 0
proteome_14.fasta, 1, 0
proteome_15.fasta, 1, 1
proteome_16.fasta, 1, 1
proteome_17.fasta, 3, 0
proteome_18.fasta, 8, 0
proteome_19.fasta, 1, 2
proteome_20.fasta, 3, 0
proteome_21.fasta, 5, 0
proteome_22.fasta, 8, 0
proteome_23.fasta, 2, 2
proteome_24.fasta, 2, 1
proteome_25.fasta, 5, 0
proteome_26.fasta, 1, 0
proteome_27.fasta, 1, 0
proteome_28.fasta, 1, 0
proteome_29.fasta, 1, 1
proteome_30.fasta, 1, 0
proteome_31.fasta, 7, 0
proteome_32.fasta, 4, 0
proteome_33.fasta, 0, 0
proteome_34.fasta, 1, 0
proteome_35.fasta, 1, 0
proteome_36.fasta, 3, 0
proteome_37.fasta, 2, 0
proteome_38.fasta, 1, 1
proteome_39.fasta, 1, 1
proteome_40.fasta, 2, 0
proteome_41.fasta, 2, 0
proteome_42.fasta, 3, 1
proteome_43.fasta, 3, 0
proteome_44.fasta, 1, 1
proteome_45.fasta, 3, 1
proteome_46.fasta, 2, 0
proteome_47.fasta, 2, 0
proteome_48.fasta, 1, 1
proteome_49.fasta, 3, 0
proteome_50.fasta, 3, 1
